filename,mask
image_1192.h5,mask_1192.h5
image_1193.h5,mask_1193.h5
image_1194.h5,mask_1194.h5
image_1195.h5,mask_1195.h5
image_1196.h5,mask_1196.h5
image_1197.h5,mask_1197.h5
image_1198.h5,mask_1198.h5
image_1199.h5,mask_1199.h5
image_12.h5,mask_12.h5
image_120.h5,mask_120.h5
image_1200.h5,mask_1200.h5
image_1201.h5,mask_1201.h5
image_1202.h5,mask_1202.h5
image_1203.h5,mask_1203.h5
image_1204.h5,mask_1204.h5
image_1205.h5,mask_1205.h5
image_1206.h5,mask_1206.h5
image_1207.h5,mask_1207.h5
image_1208.h5,mask_1208.h5
image_1209.h5,mask_1209.h5
image_121.h5,mask_121.h5
image_1210.h5,mask_1210.h5
image_1211.h5,mask_1211.h5
image_1212.h5,mask_1212.h5
image_1213.h5,mask_1213.h5
image_1214.h5,mask_1214.h5
image_1215.h5,mask_1215.h5
image_1216.h5,mask_1216.h5
image_1217.h5,mask_1217.h5
image_1218.h5,mask_1218.h5
image_1219.h5,mask_1219.h5
image_122.h5,mask_122.h5
image_1220.h5,mask_1220.h5
image_1221.h5,mask_1221.h5
image_1222.h5,mask_1222.h5
image_1223.h5,mask_1223.h5
image_1224.h5,mask_1224.h5
image_1225.h5,mask_1225.h5
image_1226.h5,mask_1226.h5
image_1227.h5,mask_1227.h5
image_1228.h5,mask_1228.h5
image_1229.h5,mask_1229.h5
image_123.h5,mask_123.h5
image_1230.h5,mask_1230.h5
image_1231.h5,mask_1231.h5
image_1232.h5,mask_1232.h5
image_1233.h5,mask_1233.h5
image_1234.h5,mask_1234.h5
image_1235.h5,mask_1235.h5
image_1236.h5,mask_1236.h5
image_1237.h5,mask_1237.h5
image_1238.h5,mask_1238.h5
image_1239.h5,mask_1239.h5
image_124.h5,mask_124.h5
image_1240.h5,mask_1240.h5
image_1241.h5,mask_1241.h5
image_1242.h5,mask_1242.h5
image_1243.h5,mask_1243.h5
image_1244.h5,mask_1244.h5
image_1245.h5,mask_1245.h5
image_1246.h5,mask_1246.h5
image_1247.h5,mask_1247.h5
image_1248.h5,mask_1248.h5
image_1249.h5,mask_1249.h5
image_125.h5,mask_125.h5
image_1250.h5,mask_1250.h5
image_1251.h5,mask_1251.h5
image_1252.h5,mask_1252.h5
image_1253.h5,mask_1253.h5
image_1254.h5,mask_1254.h5
image_1255.h5,mask_1255.h5
image_1256.h5,mask_1256.h5
image_1257.h5,mask_1257.h5
image_1258.h5,mask_1258.h5
image_1259.h5,mask_1259.h5
image_126.h5,mask_126.h5
image_1260.h5,mask_1260.h5
image_1261.h5,mask_1261.h5
image_1262.h5,mask_1262.h5
image_1263.h5,mask_1263.h5
image_1264.h5,mask_1264.h5
image_1265.h5,mask_1265.h5
image_1266.h5,mask_1266.h5
image_1267.h5,mask_1267.h5
image_1268.h5,mask_1268.h5
image_1269.h5,mask_1269.h5
image_127.h5,mask_127.h5
image_1270.h5,mask_1270.h5
image_1271.h5,mask_1271.h5
image_1272.h5,mask_1272.h5
image_1273.h5,mask_1273.h5
image_1274.h5,mask_1274.h5
image_1275.h5,mask_1275.h5
image_1276.h5,mask_1276.h5
image_1277.h5,mask_1277.h5
image_1278.h5,mask_1278.h5
image_1279.h5,mask_1279.h5
image_128.h5,mask_128.h5
image_1280.h5,mask_1280.h5
image_1281.h5,mask_1281.h5
image_1282.h5,mask_1282.h5
image_1283.h5,mask_1283.h5
image_1284.h5,mask_1284.h5
image_1285.h5,mask_1285.h5
image_1286.h5,mask_1286.h5
image_1287.h5,mask_1287.h5
image_1288.h5,mask_1288.h5
image_1289.h5,mask_1289.h5
image_129.h5,mask_129.h5
image_1290.h5,mask_1290.h5
image_1291.h5,mask_1291.h5
image_1292.h5,mask_1292.h5
image_1293.h5,mask_1293.h5
image_1294.h5,mask_1294.h5
image_1295.h5,mask_1295.h5
image_1296.h5,mask_1296.h5
image_1297.h5,mask_1297.h5
image_1298.h5,mask_1298.h5
image_1299.h5,mask_1299.h5
image_13.h5,mask_13.h5
image_130.h5,mask_130.h5
image_1300.h5,mask_1300.h5
image_1301.h5,mask_1301.h5
image_1302.h5,mask_1302.h5
image_1303.h5,mask_1303.h5
image_1304.h5,mask_1304.h5
image_1305.h5,mask_1305.h5
image_1306.h5,mask_1306.h5
image_1307.h5,mask_1307.h5
image_1308.h5,mask_1308.h5
image_1309.h5,mask_1309.h5
image_131.h5,mask_131.h5
image_1310.h5,mask_1310.h5
image_1311.h5,mask_1311.h5
image_1312.h5,mask_1312.h5
image_1313.h5,mask_1313.h5
image_1314.h5,mask_1314.h5
image_1315.h5,mask_1315.h5
image_1316.h5,mask_1316.h5
image_1317.h5,mask_1317.h5
image_1318.h5,mask_1318.h5
image_1319.h5,mask_1319.h5
image_132.h5,mask_132.h5
image_1320.h5,mask_1320.h5
image_1321.h5,mask_1321.h5
image_1322.h5,mask_1322.h5
image_1323.h5,mask_1323.h5
image_1324.h5,mask_1324.h5
image_1325.h5,mask_1325.h5
image_1326.h5,mask_1326.h5
image_1327.h5,mask_1327.h5
image_1328.h5,mask_1328.h5
image_1329.h5,mask_1329.h5
image_133.h5,mask_133.h5
image_1330.h5,mask_1330.h5
image_1331.h5,mask_1331.h5
image_1332.h5,mask_1332.h5
image_1333.h5,mask_1333.h5
image_1334.h5,mask_1334.h5
image_1335.h5,mask_1335.h5
image_1336.h5,mask_1336.h5
image_1337.h5,mask_1337.h5
image_1338.h5,mask_1338.h5
image_1339.h5,mask_1339.h5
image_134.h5,mask_134.h5
image_1340.h5,mask_1340.h5
image_1341.h5,mask_1341.h5
image_1342.h5,mask_1342.h5
image_1343.h5,mask_1343.h5
image_1344.h5,mask_1344.h5
image_1345.h5,mask_1345.h5
image_1346.h5,mask_1346.h5
image_1347.h5,mask_1347.h5
image_1348.h5,mask_1348.h5
image_1349.h5,mask_1349.h5
image_135.h5,mask_135.h5
image_1350.h5,mask_1350.h5
image_1351.h5,mask_1351.h5
image_1352.h5,mask_1352.h5
image_1353.h5,mask_1353.h5
image_1354.h5,mask_1354.h5
image_1355.h5,mask_1355.h5
image_1356.h5,mask_1356.h5
image_1357.h5,mask_1357.h5
image_1358.h5,mask_1358.h5
image_1359.h5,mask_1359.h5
image_136.h5,mask_136.h5
image_1360.h5,mask_1360.h5
image_1361.h5,mask_1361.h5
image_1362.h5,mask_1362.h5
image_1363.h5,mask_1363.h5
image_1364.h5,mask_1364.h5
image_1365.h5,mask_1365.h5
image_1366.h5,mask_1366.h5
image_1367.h5,mask_1367.h5
image_1368.h5,mask_1368.h5
image_1369.h5,mask_1369.h5
image_137.h5,mask_137.h5
image_1370.h5,mask_1370.h5
image_1371.h5,mask_1371.h5
image_1372.h5,mask_1372.h5
image_1373.h5,mask_1373.h5
image_1374.h5,mask_1374.h5
image_1375.h5,mask_1375.h5
image_1376.h5,mask_1376.h5
image_1377.h5,mask_1377.h5
image_1378.h5,mask_1378.h5
image_1379.h5,mask_1379.h5
image_138.h5,mask_138.h5
image_1380.h5,mask_1380.h5
image_1381.h5,mask_1381.h5
image_1382.h5,mask_1382.h5
image_1383.h5,mask_1383.h5
image_1384.h5,mask_1384.h5
image_1385.h5,mask_1385.h5
image_1386.h5,mask_1386.h5
image_1387.h5,mask_1387.h5
image_1388.h5,mask_1388.h5
image_1389.h5,mask_1389.h5
image_139.h5,mask_139.h5
image_1390.h5,mask_1390.h5
image_1391.h5,mask_1391.h5
image_1392.h5,mask_1392.h5
image_1393.h5,mask_1393.h5
image_1394.h5,mask_1394.h5
image_1395.h5,mask_1395.h5
image_1396.h5,mask_1396.h5
image_1397.h5,mask_1397.h5
image_1398.h5,mask_1398.h5
image_1399.h5,mask_1399.h5
image_14.h5,mask_14.h5
image_140.h5,mask_140.h5
image_1400.h5,mask_1400.h5
image_1401.h5,mask_1401.h5
image_1402.h5,mask_1402.h5
image_1403.h5,mask_1403.h5
image_1404.h5,mask_1404.h5
image_1405.h5,mask_1405.h5
image_1406.h5,mask_1406.h5
image_1407.h5,mask_1407.h5
image_1408.h5,mask_1408.h5
image_1409.h5,mask_1409.h5
image_141.h5,mask_141.h5
image_1410.h5,mask_1410.h5
image_1411.h5,mask_1411.h5
image_1412.h5,mask_1412.h5
image_1413.h5,mask_1413.h5
image_1414.h5,mask_1414.h5
image_1415.h5,mask_1415.h5
image_1416.h5,mask_1416.h5
image_1417.h5,mask_1417.h5
image_1418.h5,mask_1418.h5
image_1419.h5,mask_1419.h5
image_142.h5,mask_142.h5
image_1420.h5,mask_1420.h5
image_1421.h5,mask_1421.h5
image_1422.h5,mask_1422.h5
image_1423.h5,mask_1423.h5
image_1424.h5,mask_1424.h5
image_1425.h5,mask_1425.h5
image_1426.h5,mask_1426.h5
image_1427.h5,mask_1427.h5
image_1428.h5,mask_1428.h5
image_1429.h5,mask_1429.h5
image_143.h5,mask_143.h5
image_1430.h5,mask_1430.h5
image_1431.h5,mask_1431.h5
image_1432.h5,mask_1432.h5
image_1433.h5,mask_1433.h5
image_1434.h5,mask_1434.h5
image_1435.h5,mask_1435.h5
image_1436.h5,mask_1436.h5
image_1437.h5,mask_1437.h5
image_1438.h5,mask_1438.h5
image_1439.h5,mask_1439.h5
image_144.h5,mask_144.h5
image_1440.h5,mask_1440.h5
image_1441.h5,mask_1441.h5
image_1442.h5,mask_1442.h5
image_1443.h5,mask_1443.h5
image_1444.h5,mask_1444.h5
image_1445.h5,mask_1445.h5
image_1446.h5,mask_1446.h5
image_1447.h5,mask_1447.h5
image_1448.h5,mask_1448.h5
image_1449.h5,mask_1449.h5
image_145.h5,mask_145.h5
image_1450.h5,mask_1450.h5
image_1451.h5,mask_1451.h5
image_1452.h5,mask_1452.h5
image_1453.h5,mask_1453.h5
image_1454.h5,mask_1454.h5
image_1455.h5,mask_1455.h5
image_1456.h5,mask_1456.h5
image_1457.h5,mask_1457.h5
image_1458.h5,mask_1458.h5
image_1459.h5,mask_1459.h5
image_146.h5,mask_146.h5
image_1460.h5,mask_1460.h5
image_1461.h5,mask_1461.h5
image_1462.h5,mask_1462.h5
image_1463.h5,mask_1463.h5
image_1464.h5,mask_1464.h5
image_1465.h5,mask_1465.h5
image_1466.h5,mask_1466.h5
image_1467.h5,mask_1467.h5
image_1468.h5,mask_1468.h5
image_1469.h5,mask_1469.h5
image_147.h5,mask_147.h5
image_1470.h5,mask_1470.h5
image_1471.h5,mask_1471.h5
image_1472.h5,mask_1472.h5
image_1473.h5,mask_1473.h5
image_1474.h5,mask_1474.h5
image_1475.h5,mask_1475.h5
image_1476.h5,mask_1476.h5
image_1477.h5,mask_1477.h5
image_1478.h5,mask_1478.h5
image_1479.h5,mask_1479.h5
image_148.h5,mask_148.h5
image_1480.h5,mask_1480.h5
image_1481.h5,mask_1481.h5
image_1482.h5,mask_1482.h5
image_1483.h5,mask_1483.h5
image_1484.h5,mask_1484.h5
image_1485.h5,mask_1485.h5
image_1486.h5,mask_1486.h5
image_1487.h5,mask_1487.h5
image_1488.h5,mask_1488.h5
image_1489.h5,mask_1489.h5
image_149.h5,mask_149.h5
image_1490.h5,mask_1490.h5
image_1491.h5,mask_1491.h5
image_1492.h5,mask_1492.h5
image_1493.h5,mask_1493.h5
image_1494.h5,mask_1494.h5
image_1495.h5,mask_1495.h5
image_1496.h5,mask_1496.h5
image_1497.h5,mask_1497.h5
image_1498.h5,mask_1498.h5
image_1499.h5,mask_1499.h5
image_15.h5,mask_15.h5
image_150.h5,mask_150.h5
image_1500.h5,mask_1500.h5
image_1501.h5,mask_1501.h5
image_1502.h5,mask_1502.h5
image_1503.h5,mask_1503.h5
image_1504.h5,mask_1504.h5
image_1505.h5,mask_1505.h5
image_1506.h5,mask_1506.h5
image_1507.h5,mask_1507.h5
image_1508.h5,mask_1508.h5
image_1509.h5,mask_1509.h5
image_151.h5,mask_151.h5
image_1510.h5,mask_1510.h5
image_1511.h5,mask_1511.h5
image_1512.h5,mask_1512.h5
image_1513.h5,mask_1513.h5
image_1514.h5,mask_1514.h5
image_1515.h5,mask_1515.h5
image_1516.h5,mask_1516.h5
image_1517.h5,mask_1517.h5
image_1518.h5,mask_1518.h5
image_1519.h5,mask_1519.h5
image_152.h5,mask_152.h5
image_1520.h5,mask_1520.h5
image_1521.h5,mask_1521.h5
image_1522.h5,mask_1522.h5
image_1523.h5,mask_1523.h5
image_1524.h5,mask_1524.h5
image_1525.h5,mask_1525.h5
image_1526.h5,mask_1526.h5
image_1527.h5,mask_1527.h5
image_1528.h5,mask_1528.h5
image_1529.h5,mask_1529.h5
image_153.h5,mask_153.h5
image_1530.h5,mask_1530.h5
image_1531.h5,mask_1531.h5
image_1532.h5,mask_1532.h5
image_1533.h5,mask_1533.h5
image_1534.h5,mask_1534.h5
image_1535.h5,mask_1535.h5
image_1536.h5,mask_1536.h5
image_1537.h5,mask_1537.h5
image_1538.h5,mask_1538.h5
image_1539.h5,mask_1539.h5
image_154.h5,mask_154.h5
image_1540.h5,mask_1540.h5
image_1541.h5,mask_1541.h5
image_1542.h5,mask_1542.h5
image_1543.h5,mask_1543.h5
image_1544.h5,mask_1544.h5
image_1545.h5,mask_1545.h5
image_1546.h5,mask_1546.h5
image_1547.h5,mask_1547.h5
image_1548.h5,mask_1548.h5
image_1549.h5,mask_1549.h5
image_155.h5,mask_155.h5
image_1550.h5,mask_1550.h5
image_1551.h5,mask_1551.h5
image_1552.h5,mask_1552.h5
image_1553.h5,mask_1553.h5
image_1554.h5,mask_1554.h5
image_1555.h5,mask_1555.h5
image_1556.h5,mask_1556.h5
image_1557.h5,mask_1557.h5
image_1558.h5,mask_1558.h5
image_1559.h5,mask_1559.h5
image_156.h5,mask_156.h5
image_1560.h5,mask_1560.h5
image_1561.h5,mask_1561.h5
image_1562.h5,mask_1562.h5
image_1563.h5,mask_1563.h5
image_1564.h5,mask_1564.h5
image_1565.h5,mask_1565.h5
image_1566.h5,mask_1566.h5
image_1567.h5,mask_1567.h5
image_1568.h5,mask_1568.h5
image_1569.h5,mask_1569.h5
image_157.h5,mask_157.h5
image_1570.h5,mask_1570.h5
image_1571.h5,mask_1571.h5
image_1572.h5,mask_1572.h5
image_1573.h5,mask_1573.h5
image_1574.h5,mask_1574.h5
image_1575.h5,mask_1575.h5
image_1576.h5,mask_1576.h5
image_1577.h5,mask_1577.h5
image_1578.h5,mask_1578.h5
image_1579.h5,mask_1579.h5
image_158.h5,mask_158.h5
image_1580.h5,mask_1580.h5
image_1581.h5,mask_1581.h5
image_1582.h5,mask_1582.h5
image_1583.h5,mask_1583.h5
image_1584.h5,mask_1584.h5
image_1585.h5,mask_1585.h5
image_1586.h5,mask_1586.h5
image_1587.h5,mask_1587.h5
image_1588.h5,mask_1588.h5
image_1589.h5,mask_1589.h5
image_159.h5,mask_159.h5
image_1590.h5,mask_1590.h5
image_1591.h5,mask_1591.h5
image_1592.h5,mask_1592.h5
image_1593.h5,mask_1593.h5
image_1594.h5,mask_1594.h5
image_1595.h5,mask_1595.h5
image_1596.h5,mask_1596.h5
image_1597.h5,mask_1597.h5
image_1598.h5,mask_1598.h5
image_1599.h5,mask_1599.h5
image_16.h5,mask_16.h5
image_160.h5,mask_160.h5
image_1600.h5,mask_1600.h5
image_1601.h5,mask_1601.h5
image_1602.h5,mask_1602.h5
image_1603.h5,mask_1603.h5
image_1604.h5,mask_1604.h5
image_1605.h5,mask_1605.h5
image_1606.h5,mask_1606.h5
image_1607.h5,mask_1607.h5
image_1608.h5,mask_1608.h5
image_1609.h5,mask_1609.h5
image_161.h5,mask_161.h5
image_1610.h5,mask_1610.h5
image_1611.h5,mask_1611.h5
image_1612.h5,mask_1612.h5
image_1613.h5,mask_1613.h5
image_1614.h5,mask_1614.h5
image_1615.h5,mask_1615.h5
image_1616.h5,mask_1616.h5
image_1617.h5,mask_1617.h5
image_1618.h5,mask_1618.h5
image_1619.h5,mask_1619.h5
image_162.h5,mask_162.h5
image_1620.h5,mask_1620.h5
image_1621.h5,mask_1621.h5
image_1622.h5,mask_1622.h5
image_1623.h5,mask_1623.h5
image_1624.h5,mask_1624.h5
image_1625.h5,mask_1625.h5
image_1626.h5,mask_1626.h5
image_1627.h5,mask_1627.h5
image_1628.h5,mask_1628.h5
image_1629.h5,mask_1629.h5
image_163.h5,mask_163.h5
image_1630.h5,mask_1630.h5
image_1631.h5,mask_1631.h5
image_1632.h5,mask_1632.h5
image_1633.h5,mask_1633.h5
image_1634.h5,mask_1634.h5
image_1635.h5,mask_1635.h5
image_1636.h5,mask_1636.h5
image_1637.h5,mask_1637.h5
image_1638.h5,mask_1638.h5
image_1639.h5,mask_1639.h5
image_164.h5,mask_164.h5
image_1640.h5,mask_1640.h5
image_1641.h5,mask_1641.h5
image_1642.h5,mask_1642.h5
image_1643.h5,mask_1643.h5
image_1644.h5,mask_1644.h5
image_1645.h5,mask_1645.h5
image_1646.h5,mask_1646.h5
image_1647.h5,mask_1647.h5
image_1648.h5,mask_1648.h5
image_1649.h5,mask_1649.h5
image_165.h5,mask_165.h5
image_1650.h5,mask_1650.h5
image_1651.h5,mask_1651.h5
image_1652.h5,mask_1652.h5
image_1653.h5,mask_1653.h5
image_1654.h5,mask_1654.h5
image_1655.h5,mask_1655.h5
image_1656.h5,mask_1656.h5
image_1657.h5,mask_1657.h5
image_1658.h5,mask_1658.h5
image_1659.h5,mask_1659.h5
image_166.h5,mask_166.h5
image_1660.h5,mask_1660.h5
image_1661.h5,mask_1661.h5
image_1662.h5,mask_1662.h5
image_1663.h5,mask_1663.h5
image_1664.h5,mask_1664.h5
image_1665.h5,mask_1665.h5
image_1666.h5,mask_1666.h5
image_1667.h5,mask_1667.h5
image_1668.h5,mask_1668.h5
image_1669.h5,mask_1669.h5
image_167.h5,mask_167.h5
image_1670.h5,mask_1670.h5
image_1671.h5,mask_1671.h5
image_1672.h5,mask_1672.h5
image_1673.h5,mask_1673.h5
image_1674.h5,mask_1674.h5
image_1675.h5,mask_1675.h5
image_1676.h5,mask_1676.h5
image_1677.h5,mask_1677.h5
image_1678.h5,mask_1678.h5
image_1679.h5,mask_1679.h5
image_168.h5,mask_168.h5
image_1680.h5,mask_1680.h5
image_1681.h5,mask_1681.h5
image_1682.h5,mask_1682.h5
image_1683.h5,mask_1683.h5
image_1684.h5,mask_1684.h5
image_1685.h5,mask_1685.h5
image_1686.h5,mask_1686.h5
image_1687.h5,mask_1687.h5
image_1688.h5,mask_1688.h5
image_1689.h5,mask_1689.h5
image_169.h5,mask_169.h5
image_1690.h5,mask_1690.h5
image_1691.h5,mask_1691.h5
image_1692.h5,mask_1692.h5
image_1693.h5,mask_1693.h5
image_1694.h5,mask_1694.h5
image_1695.h5,mask_1695.h5
image_1696.h5,mask_1696.h5
image_1697.h5,mask_1697.h5
image_1698.h5,mask_1698.h5
image_1699.h5,mask_1699.h5
image_17.h5,mask_17.h5
image_170.h5,mask_170.h5
image_1700.h5,mask_1700.h5
image_1701.h5,mask_1701.h5
image_1702.h5,mask_1702.h5
image_1703.h5,mask_1703.h5
image_1704.h5,mask_1704.h5
image_1705.h5,mask_1705.h5
image_1706.h5,mask_1706.h5
image_1707.h5,mask_1707.h5
image_1708.h5,mask_1708.h5
image_1709.h5,mask_1709.h5
image_171.h5,mask_171.h5
image_1710.h5,mask_1710.h5
image_1711.h5,mask_1711.h5
image_1712.h5,mask_1712.h5
image_1713.h5,mask_1713.h5
image_1714.h5,mask_1714.h5
image_1715.h5,mask_1715.h5
image_1716.h5,mask_1716.h5
image_1717.h5,mask_1717.h5
image_1718.h5,mask_1718.h5
image_1719.h5,mask_1719.h5
image_172.h5,mask_172.h5
image_1720.h5,mask_1720.h5
image_1721.h5,mask_1721.h5
image_1722.h5,mask_1722.h5
image_1723.h5,mask_1723.h5
image_1724.h5,mask_1724.h5
image_1725.h5,mask_1725.h5
image_1726.h5,mask_1726.h5
image_1727.h5,mask_1727.h5
image_1728.h5,mask_1728.h5
image_1729.h5,mask_1729.h5
image_173.h5,mask_173.h5
image_1730.h5,mask_1730.h5
image_1731.h5,mask_1731.h5
image_1732.h5,mask_1732.h5
image_1733.h5,mask_1733.h5
image_1734.h5,mask_1734.h5
image_1735.h5,mask_1735.h5
image_1736.h5,mask_1736.h5
image_1737.h5,mask_1737.h5
image_1738.h5,mask_1738.h5
image_1739.h5,mask_1739.h5
image_174.h5,mask_174.h5
image_1740.h5,mask_1740.h5
image_1741.h5,mask_1741.h5
image_1742.h5,mask_1742.h5
image_1743.h5,mask_1743.h5
image_1744.h5,mask_1744.h5
image_1745.h5,mask_1745.h5
image_1746.h5,mask_1746.h5
image_1747.h5,mask_1747.h5
